mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	tempo	qpm	tempo_visible	slur
1	0	0	0	0.0	0	1/4	Tempo	2/4	1	1	0							Allegretto	100.0	1.0	
1	0	0	0	0.75	0	1/4	Chord	2/4	1	1	3/16		1/8	3/2	0						
1	0	3/4	3/4	0.25	3/16	7/16	Chord	2/4	1	1	1/16		1/16	1	1						
2	1	1	1	1.0	0	0	Chord	2/4	1	1	1/4		1/4	1	2						
2	1	2	2	0.25	1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	3						0
2	1	9/4	9/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	4						0
2	1	5/2	5/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	5						0
2	1	11/4	11/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	6						
2	1	1	1	1.0	0	0	Chord	2/4	1	2	1/4		1/4	1	7						
2	1	5/4	5/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	8						1
2	1	3/2	3/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	9						1
2	1	7/4	7/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	10						
3	2	3	3	1.0	0	0	Chord	2/4	1	1	1/4		1/4	1	11						
3	2	4	4	0.25	1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	12						2
3	2	17/4	17/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	13						2
3	2	9/2	9/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	14						2
3	2	19/4	19/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	15						
3	2	3	3	1.0	0	0	Chord	2/4	1	2	1/4		1/4	1	16						
3	2	13/4	13/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	17						3
3	2	7/2	7/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	18						3
3	2	15/4	15/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	19						
4	3	5	5	0.25	0	0	Chord	2/4	1	1	1/16		1/16	1	20						
4	3	21/4	21/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	21						
4	3	11/2	11/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	22		ornamentTrill				
4	3	23/4	23/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	23						
4	3	6	6	0.25	1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	24						
4	3	25/4	25/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	25						
4	3	13/2	13/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	26		ornamentTrill				
4	3	27/4	27/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	27						
4	3	11/2	11/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	28						
4	3	6	6	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	29						
4	3	13/2	13/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	30						
5	4	7	7	0.0	0	0	Chord	2/4	1	1	0	grace16	1/16	1	31						
5	4	7	7	0.25	0	0	Chord	2/4	1	1	1/16		1/16	1	32						4
5	4	29/4	29/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	33						
5	4	15/2	15/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	34		articStaccatoAbove				
5	4	31/4	31/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	35		articStaccatoAbove				
5	4	8	8	0.25	1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	36		articStaccatoAbove				
5	4	33/4	33/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	37		articStaccatoAbove				
5	4	17/2	17/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	38		articStaccatoAbove				
5	4	35/4	35/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	39		articStaccatoAbove				
5	4	7	7	1.0	0	0	Chord	2/4	2	1	1/4		1/4	1	40						
6	5	9	9	1.0	0	0	Chord	2/4	1	1	1/4		1/4	1	41						
6	5	10	10	0.25	1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	42						5
6	5	41/4	41/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	43						5
6	5	21/2	21/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	44						5
6	5	43/4	43/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	45						
