mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
2	1	1/2	1/2	4.0	0	0	2/4	2	1	c.i{		c	i		i	i						{	m	1	1	0, -3, 1		0	0
4	3	9/2	9/2	2.0	0	0	2/4	2	1	ii%2		c	i		ii%2	ii	%	2					%7	1	1	0, 2, -1, -4		2	0
5	4	13/2	13/2	2.0	0	0	2/4	2	1	#viio7		c	i		#viio7	#vii	o	7					o7	1	1	5, 2, -1, -4		5	5
6	5	17/2	17/2	0.5	0	0	2/4	2	1	i		c	i		i	i							m	1	1	0, -3, 1		0	0
6	5	9	9	0.5	1/8	1/8	2/4	2	1	VI		c	i		VI	VI							M	1	1	-4, 0, -3		-4	-4
6	5	19/2	19/2	0.5	1/4	1/4	2/4	2	1	III6		c	i		III6	III		6					M	1	1	1, -2, -3		-3	1
6	5	10	10	0.5	3/8	3/8	2/4	2	1	iv		c	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
7	6	21/2	21/2	0.5	0	0	2/4	2	1	i6		c	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
7	6	11	11	0.5	1/8	1/8	2/4	2	1	iv		c	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
7	6	23/2	23/2	0.5	1/4	1/4	2/4	2	1	i6		c	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
7	6	12	12	0.5	3/8	3/8	2/4	2	1	viio6	iio	c	i		viio6	vii	o	6					o	1	1	-5, -8, -2		-2	-5
8	7	25/2	25/2	0.5	0	0	2/4	2	1	i		c	i		i	i							m	1	1	0, -3, 1		0	0
8	7	13	13	0.5	1/8	1/8	2/4	2	1	i6		c	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
8	7	27/2	27/2	0.5	1/4	1/4	2/4	2	1	iio6		c	i		iio6	ii	o	6					o	1	1	-1, -4, 2		2	-1
8	7	14	14	0.5	3/8	3/8	2/4	2	1	V		c	i		V	V							M	1	1	1, 5, 2		1	1
9	8	29/2	29/2	1.0	0	0	2/4	2	1	VI|DC		c	i		VI	VI					DC		M	1	1	-4, 0, -3		-4	-4
9	8	31/2	31/2	0.5	1/4	1/4	2/4	2	1	III6		c	i		III6	III		6					M	1	1	1, -2, -3		-3	1
9	8	16	16	0.5	3/8	3/8	2/4	2	1	iv		c	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
10	9	33/2	33/2	0.5	0	0	2/4	2	1	i6		c	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
10	9	17	17	0.5	1/8	1/8	2/4	2	1	iv		c	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
10	9	35/2	35/2	0.5	1/4	1/4	2/4	2	1	i6		c	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
10	9	18	18	0.5	3/8	3/8	2/4	2	1	viio6	iio	c	i		viio6	vii	o	6					o	1	1	-5, -8, -2		-2	-5
11	10	37/2	37/2	0.5	0	0	2/4	2	1	i		c	i		i	i							m	1	1	0, -3, 1		0	0
11	10	19	19	0.5	1/8	1/8	2/4	2	1	i6		c	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
11	10	39/2	39/2	0.5	1/4	1/4	2/4	2	1	iio6		c	i		iio6	ii	o	6					o	1	1	-1, -4, 2		2	-1
11	10	20	20	0.5	3/8	3/8	2/4	2	1	V		c	i		V	V							M	1	1	1, 5, 2		1	1
12	11	41/2	41/2	2.0	0	0	2/4	2	1	I|PAC}		c	i		I	I					PAC	}	M	1	1	0, 4, 1		0	0
13	12	45/2	45/2	4.0	0	0	2/4	2	1	III.I{		c	III		I	I						{	M	1	0	0, 4, 1		0	0
15	14	53/2	53/2	4.0	0	0	2/4	2	1	V6		c	III		V6	V		6					M	1	0	5, 2, 1		1	5
17	16	61/2	61/2	1.0	0	0	2/4	2	1	I		c	III		I	I							M	1	0	0, 4, 1		0	0
17	16	63/2	63/2	2.0	1/4	1/4	2/4	2	1	V65/IV		c	III		V65/IV	V		65		IV			Mm7	1	0	4, 1, -2, 0		0	4
18	17	67/2	67/2	0.5	1/4	1/4	2/4	2	1	IV		c	III		IV	IV							M	1	0	-1, 3, 0		-1	-1
18	17	34	34	0.5	3/8	3/8	2/4	2	1	viio6		c	III		viio6	vii	o	6					o	1	0	2, -1, 5		5	2
19	18	69/2	69/2	1.0	0	0	2/4	2	1	I		c	III		I	I							M	1	0	0, 4, 1		0	0
19	18	71/2	71/2	2.0	1/4	1/4	2/4	2	1	V65/IV		c	III		V65/IV	V		65		IV			Mm7	1	0	4, 1, -2, 0		0	4
20	19	75/2	75/2	0.5	1/4	1/4	2/4	2	1	IV		c	III		IV	IV							M	1	0	-1, 3, 0		-1	-1
20	19	38	38	0.5	3/8	3/8	2/4	2	1	viio6		c	III		viio6	vii	o	6					o	1	0	2, -1, 5		5	2
21	20	77/2	77/2	2.0	0	0	2/4	2	1	I		c	III		I	I							M	1	0	0, 4, 1		0	0
22	21	81/2	81/2	1.0	0	0	2/4	2	1	viio/IV		c	III		viio/IV	vii	o			IV			o	1	0	4, 1, -2		4	4
