mc	mn	onset	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	0	1/4	.Bb.I6	Bb	I		I6	I		6				M	0	0	4, 1, 0		0	4
2	1	0	I	Bb	I		I	I						M	0	0	0, 4, 1		0	0
3	2	0	IV64	Bb	I		IV64	IV		64				M	0	0	0, -1, 3		-1	0
4	3	0	I6	Bb	I		I6	I		6				M	0	0	4, 1, 0		0	4
4	3	1/4	ii6	Bb	I		ii6	ii		6				m	0	0	-1, 3, 2		2	-1
4	3	3/8	V	Bb	I		V	V						M	0	0	1, 5, 2		1	1
5	4	0	I	Bb	I		I	I						M	0	0	0, 4, 1		0	0
7	6	0	IV64	Bb	I		IV64	IV		64				M	0	0	0, -1, 3		-1	0
8	7	0	I6	Bb	I		I6	I		6				M	0	0	4, 1, 0		0	4
8	7	1/4	ii6	Bb	I		ii6	ii		6				m	0	0	-1, 3, 2		2	-1
8	7	3/8	V	Bb	I		V	V						M	0	0	1, 5, 2		1	1
9	8	0	I\\	Bb	I		I	I					\\	M	0	0	0, 4, 1		0	0
9	8	1/4	I6	Bb	I		I6	I		6				M	0	0	4, 1, 0		0	4
10	9	0	V(64)	Bb	I		V(64)	V			64			M	0	0	1, 0, 4		1	1
10	9	1/4	V7	Bb	I		V7	V		7				Mm7	0	0	1, 5, 2, -1		1	1
11	10	0	I	Bb	I		I	I						M	0	0	0, 4, 1		0	0
12	11	0	V(64)	Bb	I		V(64)	V			64			M	0	0	1, 0, 4		1	1
12	11	1/4	V7	Bb	I		V7	V		7				Mm7	0	0	1, 5, 2, -1		1	1
13	12	0	I\\	Bb	I		I	I					\\	M	0	0	0, 4, 1		0	0
13	12	1/4	I6	Bb	I		I6	I		6				M	0	0	4, 1, 0		0	4
14	13	0	IV	Bb	I		IV	IV						M	0	0	-1, 3, 0		-1	-1
15	14	0	V(64)	Bb	I		V(64)	V			64			M	0	0	1, 0, 4		1	1
15	14	1/8	V\\	Bb	I		V	V					\\	M	0	0	1, 5, 2		1	1
